cycle,episode,wall_sec,eval_profit,epsilon,tool_dist,healthy,reason
1,130229,21602.0,216525.0,0.05,"{""PSC_THROUGHPUT"": 0.3445, ""GC_RESTOCK"": 0.1072, ""MTO_DEADLINE"": 0.0881, ""SETUP_AVOID"": 0.2417, ""WAIT"": 0.2185}",True,OK
5,45967,21627.4,-198900.0,0.5148,"{""PSC_THROUGHPUT"": 0.355, ""GC_RESTOCK"": 0.0832, ""MTO_DEADLINE"": 0.1098, ""SETUP_AVOID"": 0.1268, ""WAIT"": 0.3252}",True,OK
6,23648,21636.8,-71055.0,0.7504,"{""PSC_THROUGHPUT"": 0.1632, ""GC_RESTOCK"": 0.0592, ""MTO_DEADLINE"": 0.0749, ""SETUP_AVOID"": 0.129, ""WAIT"": 0.5737}",True,OK
2,23619,21608.6,-826690.0,0.7507,"{""PSC_THROUGHPUT"": 0.216, ""GC_RESTOCK"": 0.0522, ""MTO_DEADLINE"": 0.0003, ""SETUP_AVOID"": 0.098, ""WAIT"": 0.6336}",False,Profit -826690 below threshold -500000
6,23527,21638.4,-860635.0,0.7517,"{""PSC_THROUGHPUT"": 0.1809, ""GC_RESTOCK"": 0.058, ""MTO_DEADLINE"": 0.0107, ""SETUP_AVOID"": 0.1302, ""WAIT"": 0.6203}",False,Profit -860635 below threshold -500000
1,152115,25202.1,211590.0,0.05,"{""PSC_THROUGHPUT"": 0.354, ""GC_RESTOCK"": 0.1056, ""MTO_DEADLINE"": 0.0955, ""SETUP_AVOID"": 0.2198, ""WAIT"": 0.2251}",True,OK
5,67989,25227.4,-31060.0,0.2823,"{""PSC_THROUGHPUT"": 0.3155, ""GC_RESTOCK"": 0.0947, ""MTO_DEADLINE"": 0.1277, ""SETUP_AVOID"": 0.2111, ""WAIT"": 0.251}",True,OK
6,46201,25236.9,20255.0,0.5123,"{""PSC_THROUGHPUT"": 0.2362, ""GC_RESTOCK"": 0.0922, ""MTO_DEADLINE"": 0.1215, ""SETUP_AVOID"": 0.2357, ""WAIT"": 0.3144}",True,OK
3,23117,25215.4,-733380.0,0.756,"{""PSC_THROUGHPUT"": 0.1306, ""GC_RESTOCK"": 0.0577, ""MTO_DEADLINE"": 0.0116, ""SETUP_AVOID"": 0.2323, ""WAIT"": 0.5678}",False,Profit -733380 below threshold -500000
7,23123,25245.1,-803835.0,0.7559,"{""PSC_THROUGHPUT"": 0.1686, ""GC_RESTOCK"": 0.057, ""MTO_DEADLINE"": 0.0059, ""SETUP_AVOID"": 0.1273, ""WAIT"": 0.6413}",False,Profit -803835 below threshold -500000
1,174896,28802.2,267690.0,0.05,"{""PSC_THROUGHPUT"": 0.3008, ""GC_RESTOCK"": 0.0917, ""MTO_DEADLINE"": 0.0789, ""SETUP_AVOID"": 0.2045, ""WAIT"": 0.3241}",True,OK
