t,status_R1,status_R2,status_R3,status_R4,status_R5,remaining_R1,remaining_R2,remaining_R3,remaining_R4,remaining_R5,needs_decision_R1,needs_decision_R2,needs_decision_R3,needs_decision_R4,needs_decision_R5,rc_L1,rc_L2,pipeline_L1,pipeline_L2,pipeline_mode_L1,pipeline_mode_L2,gc_L1_PSC,gc_L1_NDG,gc_L1_BUSTA,gc_L2_PSC,restock_busy
245,RUNNING,RUNNING,IDLE,RUNNING,IDLE,11,8,0,1,0,0,0,1,0,1,5,6,0,4,FREE,RESTOCK,12,5,5,10,4
246,RUNNING,RUNNING,IDLE,IDLE,IDLE,10,7,0,0,0,0,0,1,1,1,5,7,0,3,FREE,RESTOCK,12,5,5,10,3
247,RUNNING,RUNNING,IDLE,IDLE,IDLE,9,6,0,0,0,0,0,1,1,1,5,7,0,2,FREE,RESTOCK,12,5,5,10,2
248,RUNNING,RUNNING,IDLE,IDLE,IDLE,8,5,0,0,0,0,0,1,1,1,5,7,0,1,FREE,RESTOCK,12,5,5,10,1
249,RUNNING,RUNNING,RUNNING,IDLE,IDLE,7,4,15,0,0,0,0,0,1,1,5,6,0,3,FREE,CONSUME,12,5,5,14,0
250,RUNNING,RUNNING,RUNNING,IDLE,IDLE,6,3,14,0,0,0,0,0,1,1,5,6,0,2,FREE,CONSUME,12,5,5,14,0
251,RUNNING,RUNNING,RUNNING,IDLE,IDLE,5,2,13,0,0,0,0,0,1,1,4,6,0,1,FREE,CONSUME,12,5,5,14,0
252,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,4,1,12,15,0,0,0,0,0,1,4,6,0,3,FREE,CONSUME,12,5,5,13,0
253,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,3,15,11,14,0,0,0,0,0,1,5,6,3,2,CONSUME,CONSUME,11,5,5,13,0
254,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,2,14,10,13,0,0,0,0,0,1,5,6,2,1,CONSUME,CONSUME,11,5,5,13,0
255,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,1,13,9,12,15,0,0,0,0,0,5,6,1,3,CONSUME,CONSUME,11,5,5,12,0
256,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,15,12,8,11,14,0,0,0,0,0,6,6,3,2,CONSUME,CONSUME,10,5,5,12,0
257,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,14,11,7,10,13,0,0,0,0,0,6,5,2,1,CONSUME,CONSUME,10,5,5,12,0
258,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,13,10,6,9,12,0,0,0,0,0,6,5,1,0,CONSUME,FREE,10,5,5,12,0
259,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,12,9,5,8,11,0,0,0,0,0,5,5,15,0,RESTOCK,FREE,10,5,5,12,15
260,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,11,8,4,7,10,0,0,0,0,0,5,5,14,0,RESTOCK,FREE,10,5,5,12,14
261,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,10,7,3,6,9,0,0,0,0,0,5,5,13,0,RESTOCK,FREE,10,5,5,12,13
262,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,9,6,2,5,8,0,0,0,0,0,5,5,12,0,RESTOCK,FREE,10,5,5,12,12
263,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,8,5,1,4,7,0,0,0,0,0,5,5,11,0,RESTOCK,FREE,10,5,5,12,11
264,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,7,4,15,3,6,0,0,0,0,0,6,5,10,3,RESTOCK,CONSUME,10,5,5,11,10
265,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,6,3,14,2,5,0,0,0,0,0,6,4,9,2,RESTOCK,CONSUME,10,5,5,11,9
266,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,5,2,13,1,4,0,0,0,0,0,6,4,8,1,RESTOCK,CONSUME,10,5,5,11,8
267,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,4,1,12,15,3,0,0,0,0,0,5,5,7,3,RESTOCK,CONSUME,10,5,5,10,7
268,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,3,0,11,14,2,0,1,0,0,0,6,5,6,2,RESTOCK,CONSUME,10,5,5,10,6
269,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,2,0,10,13,1,0,1,0,0,0,6,5,5,1,RESTOCK,CONSUME,10,5,5,10,5
270,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,1,0,9,12,15,0,1,0,0,0,6,6,4,3,RESTOCK,CONSUME,10,5,5,9,4
271,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,8,11,14,1,1,0,0,0,7,6,3,2,RESTOCK,CONSUME,10,5,5,9,3
272,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,7,10,13,1,1,0,0,0,7,6,2,1,RESTOCK,CONSUME,10,5,5,9,2
273,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,6,9,12,1,1,0,0,0,7,5,1,0,RESTOCK,FREE,10,5,5,9,1
274,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,15,0,5,8,11,0,1,0,0,0,7,5,3,15,CONSUME,RESTOCK,14,5,5,9,15
275,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,14,0,4,7,10,0,1,0,0,0,6,5,2,14,CONSUME,RESTOCK,14,5,5,9,14
276,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,13,0,3,6,9,0,1,0,0,0,6,5,1,13,CONSUME,RESTOCK,14,5,5,9,13
277,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,12,15,2,5,8,0,0,0,0,0,6,5,3,12,CONSUME,RESTOCK,13,5,5,9,12
278,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,11,14,1,4,7,0,0,0,0,0,6,5,2,11,CONSUME,RESTOCK,13,5,5,9,11
279,RUNNING,RUNNING,IDLE,RUNNING,RUNNING,10,13,0,3,6,0,0,1,0,0,6,6,1,10,CONSUME,RESTOCK,13,5,5,9,10
280,RUNNING,RUNNING,IDLE,RUNNING,RUNNING,9,12,0,2,5,0,0,1,0,0,6,5,0,9,FREE,RESTOCK,13,5,5,9,9
281,RUNNING,RUNNING,IDLE,RUNNING,RUNNING,8,11,0,1,4,0,0,1,0,0,6,5,0,8,FREE,RESTOCK,13,5,5,9,8
282,RUNNING,RUNNING,IDLE,IDLE,RUNNING,7,10,0,0,3,0,0,1,1,0,6,6,0,7,FREE,RESTOCK,13,5,5,9,7
283,RUNNING,RUNNING,IDLE,IDLE,RUNNING,6,9,0,0,2,0,0,1,1,0,5,6,0,6,FREE,RESTOCK,13,5,5,9,6
284,RUNNING,RUNNING,IDLE,IDLE,RUNNING,5,8,0,0,1,0,0,1,1,0,5,6,0,5,FREE,RESTOCK,13,5,5,9,5
285,RUNNING,RUNNING,IDLE,IDLE,IDLE,4,7,0,0,0,0,0,1,1,1,5,7,0,4,FREE,RESTOCK,13,5,5,9,4
286,RUNNING,RUNNING,IDLE,IDLE,IDLE,3,6,0,0,0,0,0,1,1,1,5,7,0,3,FREE,RESTOCK,13,5,5,9,3
287,RUNNING,RUNNING,IDLE,IDLE,IDLE,2,5,0,0,0,0,0,1,1,1,5,7,0,2,FREE,RESTOCK,13,5,5,9,2
288,RUNNING,RUNNING,IDLE,IDLE,IDLE,1,4,0,0,0,0,0,1,1,1,5,6,0,1,FREE,RESTOCK,13,5,5,9,1
289,RUNNING,RUNNING,RUNNING,IDLE,IDLE,15,3,15,0,0,0,0,0,1,1,6,6,3,3,CONSUME,CONSUME,12,5,5,13,0
290,RUNNING,RUNNING,RUNNING,IDLE,IDLE,14,2,14,0,0,0,0,0,1,1,6,6,2,2,CONSUME,CONSUME,12,5,5,13,0
291,RUNNING,RUNNING,RUNNING,IDLE,IDLE,13,1,13,0,0,0,0,0,1,1,5,6,1,1,CONSUME,CONSUME,12,5,5,13,0
292,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,12,15,12,15,0,0,0,0,0,1,6,6,3,3,CONSUME,CONSUME,11,5,5,12,0
293,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,11,14,11,14,0,0,0,0,0,1,6,6,2,2,CONSUME,CONSUME,11,5,5,12,0
294,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,10,13,10,13,0,0,0,0,0,1,6,6,1,1,CONSUME,CONSUME,11,5,5,12,0
295,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,9,12,9,12,15,0,0,0,0,0,6,6,0,3,FREE,CONSUME,11,5,5,11,0
296,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,8,11,8,11,14,0,0,0,0,0,6,5,0,2,FREE,CONSUME,11,5,5,11,0
297,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,7,10,7,10,13,0,0,0,0,0,6,5,0,1,FREE,CONSUME,11,5,5,11,0
298,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,6,9,6,9,12,0,0,0,0,0,6,5,0,0,FREE,FREE,11,5,5,11,0
299,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,5,8,5,8,11,0,0,0,0,0,5,5,0,0,FREE,FREE,11,5,5,11,0
300,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,4,7,4,7,10,0,0,0,0,0,5,5,0,0,FREE,FREE,11,5,5,11,0
301,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,3,6,3,6,9,0,0,0,0,0,5,5,0,0,FREE,FREE,11,5,5,11,0
302,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,2,5,2,5,8,0,0,0,0,0,5,5,0,0,FREE,FREE,11,5,5,11,0
303,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,1,4,1,4,7,0,0,0,0,0,5,5,0,0,FREE,FREE,11,5,5,11,0
304,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,15,3,15,3,6,0,0,0,0,0,7,4,3,3,CONSUME,CONSUME,10,5,5,10,0
305,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,14,2,14,2,5,0,0,0,0,0,7,4,2,2,CONSUME,CONSUME,10,5,5,10,0
306,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,13,1,13,1,4,0,0,0,0,0,7,4,1,1,CONSUME,CONSUME,10,5,5,10,0
307,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,12,0,12,15,3,0,1,0,0,0,7,5,15,3,RESTOCK,CONSUME,10,5,5,9,15
308,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,11,0,11,14,2,0,1,0,0,0,7,5,14,2,RESTOCK,CONSUME,10,5,5,9,14
309,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,10,0,10,13,1,0,1,0,0,0,7,5,13,1,RESTOCK,CONSUME,10,5,5,9,13
310,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,9,0,9,12,15,0,1,0,0,0,7,6,12,3,RESTOCK,CONSUME,10,5,5,8,12
311,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,8,0,8,11,14,0,1,0,0,0,7,6,11,2,RESTOCK,CONSUME,10,5,5,8,11
312,DOWN,IDLE,RUNNING,RUNNING,RUNNING,2,0,7,10,13,0,1,0,0,0,7,5,10,1,RESTOCK,CONSUME,10,5,5,8,10
313,DOWN,IDLE,RUNNING,RUNNING,RUNNING,1,0,6,9,12,0,1,0,0,0,7,5,9,0,RESTOCK,FREE,10,5,5,8,9
314,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,5,8,11,1,1,0,0,0,7,5,8,0,RESTOCK,FREE,10,5,5,8,8
315,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,4,7,10,1,1,0,0,0,6,5,7,0,RESTOCK,FREE,10,5,5,8,7
316,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,3,6,9,1,1,0,0,0,6,5,6,0,RESTOCK,FREE,10,5,5,8,6
317,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,2,5,8,1,1,0,0,0,6,5,5,0,RESTOCK,FREE,10,5,5,8,5
318,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,1,4,7,1,1,0,0,0,6,5,4,0,RESTOCK,FREE,10,5,5,8,4
319,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,15,3,6,1,1,0,0,0,6,5,3,3,RESTOCK,CONSUME,10,5,5,7,3
320,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,14,2,5,1,1,0,0,0,6,5,2,2,RESTOCK,CONSUME,10,5,5,7,2
321,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,13,1,4,1,1,0,0,0,6,5,1,1,RESTOCK,CONSUME,10,5,5,7,1
322,RUNNING,IDLE,RUNNING,IDLE,RUNNING,15,0,12,0,3,0,1,0,1,0,6,6,3,15,CONSUME,RESTOCK,14,5,5,7,15
323,RUNNING,IDLE,RUNNING,IDLE,RUNNING,14,0,11,0,2,0,1,0,1,0,6,6,2,14,CONSUME,RESTOCK,14,5,5,7,14
324,RUNNING,IDLE,RUNNING,IDLE,RUNNING,13,0,10,0,1,0,1,0,1,0,5,6,1,13,CONSUME,RESTOCK,14,5,5,7,13
325,RUNNING,RUNNING,RUNNING,IDLE,IDLE,12,15,9,0,0,0,0,0,1,1,5,7,3,12,CONSUME,RESTOCK,13,5,5,7,12
326,RUNNING,RUNNING,RUNNING,IDLE,IDLE,11,14,8,0,0,0,0,0,1,1,5,7,2,11,CONSUME,RESTOCK,13,5,5,7,11
327,RUNNING,RUNNING,RUNNING,IDLE,IDLE,10,13,7,0,0,0,0,0,1,1,5,6,1,10,CONSUME,RESTOCK,13,5,5,7,10
328,RUNNING,RUNNING,RUNNING,IDLE,IDLE,9,12,6,0,0,0,0,0,1,1,5,6,0,9,FREE,RESTOCK,13,5,5,7,9
329,RUNNING,RUNNING,RUNNING,IDLE,IDLE,8,11,5,0,0,0,0,0,1,1,5,6,0,8,FREE,RESTOCK,13,5,5,7,8
330,RUNNING,RUNNING,RUNNING,IDLE,IDLE,7,10,4,0,0,0,0,0,1,1,5,6,0,7,FREE,RESTOCK,13,5,5,7,7
331,RUNNING,RUNNING,RUNNING,IDLE,IDLE,6,9,3,0,0,0,0,0,1,1,5,6,0,6,FREE,RESTOCK,13,5,5,7,6
332,RUNNING,RUNNING,RUNNING,IDLE,IDLE,5,8,2,0,0,0,0,0,1,1,4,6,0,5,FREE,RESTOCK,13,5,5,7,5
333,RUNNING,RUNNING,RUNNING,IDLE,IDLE,4,7,1,0,0,0,0,0,1,1,4,6,0,4,FREE,RESTOCK,13,5,5,7,4
334,RUNNING,RUNNING,IDLE,IDLE,IDLE,3,6,0,0,0,0,0,1,1,1,4,7,0,3,FREE,RESTOCK,13,5,5,7,3
335,RUNNING,RUNNING,IDLE,IDLE,IDLE,2,5,0,0,0,0,0,1,1,1,4,6,0,2,FREE,RESTOCK,13,5,5,7,2
336,RUNNING,RUNNING,IDLE,IDLE,IDLE,1,4,0,0,0,0,0,1,1,1,4,6,0,1,FREE,RESTOCK,13,5,5,7,1
337,RUNNING,RUNNING,RUNNING,IDLE,IDLE,15,3,15,0,0,0,0,0,1,1,5,6,3,3,CONSUME,CONSUME,12,5,5,11,0
338,RUNNING,RUNNING,RUNNING,IDLE,IDLE,14,2,14,0,0,0,0,0,1,1,5,6,2,2,CONSUME,CONSUME,12,5,5,11,0
339,RUNNING,RUNNING,RUNNING,IDLE,IDLE,13,1,13,0,0,0,0,0,1,1,5,6,1,1,CONSUME,CONSUME,12,5,5,11,0
340,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,12,15,12,15,0,0,0,0,0,1,5,6,3,3,CONSUME,CONSUME,11,5,5,10,0
341,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,11,14,11,14,0,0,0,0,0,1,5,6,2,2,CONSUME,CONSUME,11,5,5,10,0
342,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,10,13,10,13,0,0,0,0,0,1,5,6,1,1,CONSUME,CONSUME,11,5,5,10,0
343,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,9,12,9,12,0,0,0,0,0,1,5,5,0,15,FREE,RESTOCK,11,5,5,10,15
344,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,8,11,8,11,0,0,0,0,0,1,5,5,0,14,FREE,RESTOCK,11,5,5,10,14
345,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,7,10,7,10,0,0,0,0,0,1,5,5,0,13,FREE,RESTOCK,11,5,5,10,13
346,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,6,9,6,9,0,0,0,0,0,1,5,5,0,12,FREE,RESTOCK,11,5,5,10,12
347,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,5,8,5,8,0,0,0,0,0,1,5,5,0,11,FREE,RESTOCK,11,5,5,10,11
348,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,4,7,4,7,0,0,0,0,0,1,4,5,0,10,FREE,RESTOCK,11,5,5,10,10
349,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,3,6,3,6,0,0,0,0,0,1,4,5,0,9,FREE,RESTOCK,11,5,5,10,9
350,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,2,5,2,5,0,0,0,0,0,1,4,5,0,8,FREE,RESTOCK,11,5,5,10,8
351,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,1,4,1,4,0,0,0,0,0,1,4,4,0,7,FREE,RESTOCK,11,5,5,10,7
352,RUNNING,RUNNING,IDLE,RUNNING,IDLE,15,3,0,3,0,0,0,1,0,1,6,4,3,6,CONSUME,RESTOCK,10,5,5,10,6
353,RUNNING,RUNNING,IDLE,RUNNING,IDLE,14,2,0,2,0,0,0,1,0,1,6,4,2,5,CONSUME,RESTOCK,10,5,5,10,5
354,RUNNING,RUNNING,IDLE,RUNNING,IDLE,13,1,0,1,0,0,0,1,0,1,6,4,1,4,CONSUME,RESTOCK,10,5,5,10,4
355,RUNNING,RUNNING,IDLE,IDLE,IDLE,12,15,0,0,0,0,0,1,1,1,7,5,3,3,CONSUME,RESTOCK,9,5,5,10,3
356,RUNNING,RUNNING,IDLE,IDLE,IDLE,11,14,0,0,0,0,0,1,1,1,6,5,2,2,CONSUME,RESTOCK,9,5,5,10,2
357,RUNNING,RUNNING,IDLE,IDLE,IDLE,10,13,0,0,0,0,0,1,1,1,6,5,1,1,CONSUME,RESTOCK,9,5,5,10,1
358,RUNNING,RUNNING,RUNNING,IDLE,IDLE,9,12,15,0,0,0,0,0,1,1,6,4,15,3,RESTOCK,CONSUME,9,5,5,14,15
359,RUNNING,RUNNING,RUNNING,IDLE,IDLE,8,11,14,0,0,0,0,0,1,1,6,4,14,2,RESTOCK,CONSUME,9,5,5,14,14
360,RUNNING,RUNNING,RUNNING,IDLE,IDLE,7,10,13,0,0,0,0,0,1,1,6,4,13,1,RESTOCK,CONSUME,9,5,5,14,13
361,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,6,9,12,15,0,0,0,0,0,1,6,4,12,3,RESTOCK,CONSUME,9,5,5,13,12
362,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,5,8,11,14,0,0,0,0,0,1,6,4,11,2,RESTOCK,CONSUME,9,5,5,13,11
363,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,4,7,10,13,0,0,0,0,0,1,6,4,10,1,RESTOCK,CONSUME,9,5,5,13,10
364,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,3,6,9,12,15,0,0,0,0,0,5,4,9,3,RESTOCK,CONSUME,9,5,5,12,9
365,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,2,5,8,11,14,0,0,0,0,0,5,4,8,2,RESTOCK,CONSUME,9,5,5,12,8
366,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,1,4,7,10,13,0,0,0,0,0,5,3,7,1,RESTOCK,CONSUME,9,5,5,12,7
367,IDLE,RUNNING,RUNNING,RUNNING,RUNNING,0,3,6,9,12,1,0,0,0,0,6,3,6,0,RESTOCK,FREE,9,5,5,12,6
368,IDLE,RUNNING,RUNNING,RUNNING,RUNNING,0,2,5,8,11,1,0,0,0,0,6,3,5,0,RESTOCK,FREE,9,5,5,12,5
369,IDLE,RUNNING,RUNNING,RUNNING,RUNNING,0,1,4,7,10,1,0,0,0,0,6,3,4,0,RESTOCK,FREE,9,5,5,12,4
370,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,3,6,9,1,1,0,0,0,7,3,3,0,RESTOCK,FREE,9,5,5,12,3
371,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,2,5,8,1,1,0,0,0,7,3,2,0,RESTOCK,FREE,9,5,5,12,2
372,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,1,4,7,1,1,0,0,0,6,3,1,0,RESTOCK,FREE,9,5,5,12,1
373,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,15,0,15,3,6,0,1,0,0,0,6,4,3,3,CONSUME,CONSUME,13,5,5,11,0
374,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,14,0,14,2,5,0,1,0,0,0,6,3,2,2,CONSUME,CONSUME,13,5,5,11,0
375,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,13,0,13,1,4,0,1,0,0,0,6,3,1,1,CONSUME,CONSUME,13,5,5,11,0
376,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,12,15,12,15,3,0,0,0,0,0,6,4,3,3,CONSUME,CONSUME,12,5,5,10,0
377,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,11,14,11,14,2,0,0,0,0,0,6,4,2,2,CONSUME,CONSUME,12,5,5,10,0
378,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,10,13,10,13,1,0,0,0,0,0,6,4,1,1,CONSUME,CONSUME,12,5,5,10,0
379,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,9,12,9,12,0,0,0,0,0,1,6,5,0,15,FREE,RESTOCK,12,5,5,10,15
380,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,8,11,8,11,0,0,0,0,0,1,5,5,0,14,FREE,RESTOCK,12,5,5,10,14
381,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,7,10,7,10,0,0,0,0,0,1,5,5,0,13,FREE,RESTOCK,12,5,5,10,13
382,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,6,9,6,9,0,0,0,0,0,1,5,4,0,12,FREE,RESTOCK,12,5,5,10,12
383,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,5,8,5,8,0,0,0,0,0,1,5,4,0,11,FREE,RESTOCK,12,5,5,10,11
384,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,4,7,4,7,0,0,0,0,0,1,5,4,0,10,FREE,RESTOCK,12,5,5,10,10
385,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,3,6,3,6,0,0,0,0,0,1,5,4,0,9,FREE,RESTOCK,12,5,5,10,9
386,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,2,5,2,5,0,0,0,0,0,1,5,4,0,8,FREE,RESTOCK,12,5,5,10,8
387,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,1,4,1,4,0,0,0,0,0,1,5,4,0,7,FREE,RESTOCK,12,5,5,10,7
388,RUNNING,RUNNING,IDLE,RUNNING,IDLE,15,3,0,3,0,0,0,1,0,1,5,5,3,6,CONSUME,RESTOCK,11,5,5,10,6
389,RUNNING,RUNNING,IDLE,RUNNING,IDLE,14,2,0,2,0,0,0,1,0,1,5,5,2,5,CONSUME,RESTOCK,11,5,5,10,5
390,RUNNING,RUNNING,IDLE,RUNNING,IDLE,13,1,0,1,0,0,0,1,0,1,5,4,1,4,CONSUME,RESTOCK,11,5,5,10,4
391,RUNNING,RUNNING,IDLE,IDLE,IDLE,12,15,0,0,0,0,0,1,1,1,6,5,3,3,CONSUME,RESTOCK,10,5,5,10,3
392,RUNNING,RUNNING,IDLE,IDLE,IDLE,11,14,0,0,0,0,0,1,1,1,6,5,2,2,CONSUME,RESTOCK,10,5,5,10,2
393,RUNNING,RUNNING,IDLE,IDLE,IDLE,10,13,0,0,0,0,0,1,1,1,6,5,1,1,CONSUME,RESTOCK,10,5,5,10,1
394,RUNNING,RUNNING,RUNNING,IDLE,IDLE,9,12,15,0,0,0,0,0,1,1,6,5,15,3,RESTOCK,CONSUME,10,5,5,14,15
395,RUNNING,RUNNING,RUNNING,IDLE,IDLE,8,11,14,0,0,0,0,0,1,1,6,5,14,2,RESTOCK,CONSUME,10,5,5,14,14
396,RUNNING,RUNNING,RUNNING,IDLE,IDLE,7,10,13,0,0,0,0,0,1,1,5,5,13,1,RESTOCK,CONSUME,10,5,5,14,13
397,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,6,9,12,15,0,0,0,0,0,1,5,4,12,3,RESTOCK,CONSUME,10,5,5,13,12
398,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,5,8,11,14,0,0,0,0,0,1,5,4,11,2,RESTOCK,CONSUME,10,5,5,13,11
399,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,4,7,10,13,0,0,0,0,0,1,5,4,10,1,RESTOCK,CONSUME,10,5,5,13,10
400,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,3,6,9,12,15,0,0,0,0,0,5,4,9,3,RESTOCK,CONSUME,10,5,5,12,9
401,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,2,5,8,11,14,0,0,0,0,0,5,4,8,2,RESTOCK,CONSUME,10,5,5,12,8
402,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,1,4,7,10,13,0,0,0,0,0,5,4,7,1,RESTOCK,CONSUME,10,5,5,12,7
403,IDLE,RUNNING,RUNNING,RUNNING,RUNNING,0,3,6,9,12,1,0,0,0,0,6,4,6,0,RESTOCK,FREE,10,5,5,12,6
404,IDLE,RUNNING,RUNNING,RUNNING,RUNNING,0,2,5,8,11,1,0,0,0,0,6,4,5,0,RESTOCK,FREE,10,5,5,12,5
405,IDLE,RUNNING,RUNNING,RUNNING,RUNNING,0,1,4,7,10,1,0,0,0,0,5,3,4,0,RESTOCK,FREE,10,5,5,12,4
406,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,3,6,9,1,1,0,0,0,6,3,3,0,RESTOCK,FREE,10,5,5,12,3
407,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,2,5,8,1,1,0,0,0,6,3,2,0,RESTOCK,FREE,10,5,5,12,2
408,IDLE,IDLE,RUNNING,RUNNING,RUNNING,0,0,1,4,7,1,1,0,0,0,6,3,1,0,RESTOCK,FREE,10,5,5,12,1
409,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,15,0,15,3,6,0,1,0,0,0,6,4,3,3,CONSUME,CONSUME,14,5,5,11,0
410,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,14,0,14,2,5,0,1,0,0,0,6,4,2,2,CONSUME,CONSUME,14,5,5,11,0
411,RUNNING,IDLE,RUNNING,RUNNING,RUNNING,13,0,13,1,4,0,1,0,0,0,6,4,1,1,CONSUME,CONSUME,14,5,5,11,0
412,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,12,15,12,15,3,0,0,0,0,0,6,5,3,3,CONSUME,CONSUME,13,5,5,10,0
413,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,11,14,11,14,2,0,0,0,0,0,5,4,2,2,CONSUME,CONSUME,13,5,5,10,0
414,RUNNING,RUNNING,RUNNING,RUNNING,RUNNING,10,13,10,13,1,0,0,0,0,0,5,4,1,1,CONSUME,CONSUME,13,5,5,10,0
415,RUNNING,RUNNING,RUNNING,RUNNING,IDLE,9,12,9,12,0,0,0,0,0,1,5,5,0,15,FREE,RESTOCK,13,5,5,10,15
